"name","name-2","name-3","sale_price"
"Принтеры","HP","Принтер HP Ink Tank 315 AiO",2318000
"Принтеры","Canon","Принтер Canon i-SENSYS LBP611 Cn EUSF",1732000
"Принтеры","Canon","Принтер Canon L-SFP i-SENSYS LBP-613CDw EU",1969000
"Принтеры","HP","Принтер HP LaserJet M15a Printer EUR",1828000
"Принтеры","Canon","Принтер Canon PIXMA G2410",1597000
"Принтеры","Canon","Принтер Canon PIXMA G2411",2252000
"Принтеры","Canon","Принтер Canon PIXMA GM2040",2216000
"Принтеры","Canon","Принтер Canon PIXMA G3411",1639000
"Принтеры","Canon","Принтер Canon PIXMA GM4040",3599000
"Принтеры","Epson","Принтер Epson L120",1285000
"Принтеры","Epson","Принтер Epson L3150",1785000
"Принтеры","Epson","Принтер Epson L805",2523000
"Цифровые фотоаппараты","Canon","Зеркальный фотоаппарат Canon 2000d",3239000
"Цифровые фотоаппараты","Canon","Зеркальный фотоаппарат Canon 4000d",2677000
"Цифровые фотоаппараты","Nikon","Зеркальный фотоаппарат Nikon d3400",4401000
"Цифровые фотоаппараты","Canon","Компактные фотоаппараты Canon IXUS265",999000
"Цифровые фотоаппараты","Canon","Компактные фотоаппараты Canon sx530",2634000
"Цифровые фотоаппараты","Nikon","Компактные фотоаппараты Nikon b500",2883000
"Цифровые фотоаппараты","Nikon","Зеркальный фотоаппарат Nikon D3500",3317000
"Цифровые фотоаппараты","Canon","Компактные фотоаппараты Canon IXUS185",949000
"Цифровые фотоаппараты","Sony","Цифровой фотоаппарат Sony w800",810000
"Цифровые фотоаппараты","Canon","Цифровой фотоаппарат Canon SX620",1792000
"Цифровые фотоаппараты","Canon","Компактные фотоаппараты Canon sx430is",2088000
"Цифровые фотоаппараты","Canon","Компактные фотоаппараты Canon sx70",4499000
"Цифровые фотоаппараты","Canon","Зеркальный фотоаппарат Canon 250D",5299000
"Цифровые фотоаппараты","Nikon","Зеркальный фотоаппарат Nikon D5600",4739000
"Цифровые видеокамеры","Panasonic","Видеокамера Panasonic HC V380",3212000
"Цифровые видеокамеры","Sony","Видеокамера Sony CX405",1713600
"Цифровые видеокамеры","Mi","Экшен-камера Mi Action Camera 4k Тёмно-серая",1726000
"Цифровые видеокамеры","Sony","Видеокамера Sony PJ410",3150000
"Цифровые видеокамеры","Canon","Видеокамера Canon HF R78",2784000
"Microsoft XBOX","XBOX","Игровая приставка XBOX ONE S 1TB M1681",4297000
"Microsoft XBOX","Microsoft","Игровая приставка XBOX ONE X 1TB 4k",5309000
"Газовые плиты","Femas","Газовая плита Femas 21 SI",0
"Газовые плиты","Femas","Газовая плита Femas 22 S INOX",1754000
"Газовые плиты","Femas","Газовая плита Femas 22 SBR",1500000
"Газовые плиты","25 kg","Газовая плита Femas 22 SW",1662000
"Газовые плиты","Fames","Газовая плита Femas 22S-I",0
